activity,integration_id,count
Bowling,getactive-london,13
Bowling,opensessions,1
Bowling Sports,getactive-essex-spreadsheet,1
Bowling Sports,getactive-london,17
"Bowling Sports, Bowls",getactive-essex-spreadsheet,1
"Bowling Sports, Bowls Outdoor, Bowls",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Bowls,getactive-essex-spreadsheet,106
Bowls,getactive-hampshire-and-isle-of-wight-spreadsheet,39
Bowls,getactive-london,222
Bowls,gloucestershire-spreadsheet,3
Bowls,opensessions,6
"Bowls, Bowls",getactive-essex-spreadsheet,1
"Bowls, Bowls (Indoor)",getactive-essex-spreadsheet,2
"Bowls, Bowls (Indoor)",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Bowls, Bowls (Indoor), Bowls (Indoor)",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Bowls (Indoor),getactive-essex-spreadsheet,1
Bowls (Indoor),getactive-london,14
Bowls Outdoor,getactive-essex-spreadsheet,4
Bowls Outdoor,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Bowls Outdoor,getactive-london,5
"Bowls Outdoor, Bowls",getactive-essex-spreadsheet,4
Bowls Outdoors,getactive-london,1
"Bowls Outdoors, Bowls Outdoor, Bowls",getactive-essex-spreadsheet,1
Boxercise,getactive-essex-spreadsheet,1
Boxercise,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Boxercise,getactive-london,63
Boxercise,opensessions,1
box fit,opensessions,1
Boxfit,getactive-london,40
Boxfit,girls-move-london-spreadsheet,1
Boxfit,gladstone-newham,7
Box Fit,ourparks,1450
boxing,getactive-london,2
Boxing,getactive-essex-spreadsheet,14
Boxing,getactive-hampshire-and-isle-of-wight-spreadsheet,9
Boxing,getactive-london,198
Boxing,girls-move-london-spreadsheet,1
Boxing,opensessions,2
Boxing ,opensessions,2
Boxing Circuits,getactive-london,41
"Boxing Circuits, Boxing, Boxercise, Boxfit",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Boxing, Taekwondo",gloucestershire-spreadsheet,1
Boxing Yoga,ourparks,131
Brazilian Dance,ourparks,63
Brazilian Forro,getactive-london,3
Brazilian Jiu Jitsu,getactive-essex-spreadsheet,1
Brazilian Jiu Jitsu,getactive-london,7
Brazilian Jiu Jitsu (martial art,girls-move-london-spreadsheet,1
Brazilian Zouk,getactive-london,1
Bridge,getactive-london,6
Buggy Bootcamp,opensessions,1
Buggy Exercise,ourparks,229
Buggy Fitness,opensessions,3
Buggy Fitness/Bootcamp,getactive-essex-spreadsheet,2
Buggy Fitness/Bootcamp,getactive-london,1
Buggy Workout,getactive-essex-spreadsheet,1
Buggy Workout,getactive-london,3
"Buggy Workout, Buggy Fitness/Bootcamp",getactive-essex-spreadsheet,1
Bums & Abs,getactive-london,20
"Bums, Tums, Thighs",gladstone-newham,8
Calisthenics,getactive-london,2
Camogie,getactive-london,2
canoeing,getactive-london,2
Canoeing,getactive-hampshire-and-isle-of-wight-spreadsheet,11
Canoeing,getactive-london,62
"Canoeing, Canoeing",getactive-essex-spreadsheet,8
"Canoeing, Canoeing, Kayaking",getactive-essex-spreadsheet,1
"Canoeing, Kayaking",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Canoeing, Kayaking",gloucestershire-spreadsheet,1
