Code,Term (en-GB),Parent term,Alternate name,Type,Source,Tag,Tag,Tag,Setting,Setting,"<- note the terms here are all British (""en-GB"") terms, so we don't need to take into account internationalisation at this stage"
,Fitsteps,Dance,,Discipline,,Dance,Fitness,,,,
,Ravercise,Dance,,Discipline,,Dance,Fitness,,,,
,Body Jam,Dance,,Discipline,,Dance,Fitness,,,,
,Zumba,Dance,,Discipline,Active Lives Survey,Dance,Fitness,,,,
DARTS,Darts,,,Activity,Recognised Sports List,Leisure,Games,,,,
DIVING,Diving,,,Activity,Recognised Sports List,,,,,,
,Platform diving,Diving,,Discipline,,,,,,,
DODGEBALL,Dodgeball,,,Activity,Recognised Sports List,Team,,,,,
DRAGON BOAT RACING,Dragon Boat Racing,,,Activity,Recognised Sports List,,,,,,
DUATHLON,Duathlon,,,Activity,Recognised Sports List,,,,,,
EQUESTRIAN,Equestrian,,,Activity,Recognised Sports List,,,,,,
,Horse Riding,Equestrian,,Discipline,,,,,,,
,Hacking,Equestrian,,Discipline,,,,,,,
,Pony trekking,Equestrian,,Discipline,,,,,,,
,Schooling,Equestrian,,Discipline,,,,,,,
,Show jumping,Equestrian,,Discipline,,,,,,,
,Dressage,Equestrian,,Discipline,,,,,,,
,Eventing,Equestrian,,Discipline,,,,,,,
,Harness Racing,Equestrian,,Discipline,,,,,,,
,Polocrosse,Equestrian,,Discipline,,,,,,,
EXERCISE CLASS,Exercise class,,,Activity,Active Lives Survey,Fitness,,,,,
,Exercise class,,Fitness class,Alternate Name,,Fitness,,,,,
,Health and Beauty exercise,Exercise class,,Discipline,Recognised Sports List,Fitness,,,,,
,Fitness league classes,Exercise class,,Discipline,Recognised Sports List,Fitness,,,,,
,Boxing class,Exercise class,,Discipline,Active Lives Survey,Fitness,Combat,,,,
,Boxercise,Exercise class,,Discipline,Active Lives Survey,Fitness,Combat,,,,
,Body Combat,Exercise class,,Discipline,Active Lives Survey,Fitness,Combat,,,,
,Cardio class,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,Aerobics,,,
,Aerobics,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,Aerobics,,,
,Step aerobics,Exercise class,,Discipline,Active Lives Survey,Fitness,Cardio,Aerobics,,,
